,text,sentiment
1567," I`ve been well, thx. Just getting up for an early morning meeting and wondering why I agreed to it. Don`t like getting up early",neutral
48,  im really sorry i know wallah how u feel this life is shittttttttt,negative
3310,_Advisor haha I`m just going to turn off these things...but then I can`t Tweet from my phone  stupid spammers!,negative
137,I wish I could go to #BEA this weekend.,positive
549,Zs.Nagy presents  http://www.nordugrid.org/manuals.html,neutral
1716, you didnt include Taylor in the 'Follow Friday',neutral
1701, welcome to twitter my friend,positive
3215, Perth Australia,neutral
2433,random night of fun  now im chillin at home.. happy mothers day!,positive
1836, Did you see Star Trek? Now I can`t sleep.........too much action. Can`t wind down!!!,neutral
2461,**** I failed in my assassination attempt on Louis  re: http://ff.im/3mrIM,negative
2257,Only a month left of high school! Thank God. I am ready for summer,positive
557,Extremely happy to see my new track 'The Awakening' featured on Indivibe   http://www.indivibe.com/vibe.php?city=1,positive
1507,watching SNL with guess Justin Timberlake...OMG! He is too funny!  hahahah,positive
171,bundy. in 3 days.!!!! warm weather here i come!,neutral
700," yeah, when you start reaching your early-mid-20s",neutral
43,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral
2105,With  walking the streets of Harlem. Home sweet home,positive
1775,"sickkk, it`s been two days since summer started and it suck already!",negative
2969, I hope so ^^ Eclipse is up and running again btw!  http://tinyurl.com/d792yd,neutral
245, follow me too,neutral
2076, no problem! i think it`s a great thing to reflect on.,positive
3305," That sounds good, too!",positive
666,i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee XD.,neutral
575, someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,positive
138,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral
2968,"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can`t keep from falling for him",negative
529, yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<,positive
1743, I hope so too.  How are you?,positive
2603, 'If there`s a camel up a hill' and 'I`ll give you plankton' ....HILARIOUS!!,positive
1957,my msn crashes way too much  hmph,negative
1314,Looking at our photo shoot pics...check out our myspace pics to see them...i love them all...,positive
3350,"eating some breakfast at Panera Bread. boring cloudy weather, lil drizzle",neutral
2925,Writing an essay in college writing  so boring,negative
488," Wow, I really hope it gets better. Asthma sucks",neutral
2390, oh mann... Me likey that!! But sadly I`m not bein auctioned on #twpp tonight,negative
1243,Mudweight hauled in for last time by   http://yfrog.com/0zr2jqj,negative
3402,My birthday is now over.,neutral
3431," absolutely tru...the horror of it still washes ovr me sometimes if i think  abt the actual last days, but the gd memories go on",neutral
3114," Thanks, that was gonna be my next tweet...You the man  Figuratively speaking",positive
2299,I`m suffering from restless legs and butt syndrome.,negative
1923," **** brah, u not happy?",negative
2458,"Heading to the office through a very quiet Stockholm, at least its not sunny",neutral
1254, Still no Internet today,neutral
975,is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,neutral
2850,seagull hates me and im utterly depressed about it. i miss him.,negative
453,"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",negative
1124,"I want to ride my bicycle today, but it`s too cold and cloudy today",negative
374,i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,positive
3468, yes sir i sure did.,neutral
3301,i have so much homework  i think i am going to hide in a corner and cry.,negative
3311,Kicking like crazy.,neutral
2962, YEA!! Way to go! Super excited for a great Midwest resource!!! Midwest pride!,positive
2539, Chrystina Grace Timberlake has a ring to it!,neutral
1753,_x Yepp.  Do you Like Dylan or Cole Better?,neutral
2713, What`s the focus of your Sunday 4e game?,neutral
2332,Following new other #sanctuary fans! See the wonders of #SanctuarySunday !!!  good to meet you all!,positive
1022, It`s already over? ****!,negative
2067,awesome i just ruined all my white clothes i never remember to separate,neutral
2018, it is so unfair that all the good rock shows happen only in B`lore and Pune,positive
3219," You`re a night owl, too, huh?",neutral
1622, Tis me SharonP...,neutral
3124,Going into town later to get myself a birthday present.  An iPod Touch will do nicely I think,positive
398, i know i suck.  my data plan is weak sauce.,negative
1296, etherreal WAS my main preoccupation. Now it`s EtherREAL`s preoccupation... humm... me ? schizophrenic ?,negative
2600,"Just Saw Confessions Of A Shopoholic...Totally fell in love with Hugh Dancy`s accent!! :3 Need $20.00 for tomorrow, new top i want!!",positive
3397,"Aarg, looks like I have to go home to Vegas this weekend. So much for Maker Faire",neutral
2769,awww holly  shes so cute! i hope they let her sing again!,positive
2120, http://twitpic.com/67swx - i wish i was calling you but i can`t from Malta,positive
1473," I refuse to get excited as I don`t want to be let down  if it happens, as long as it`s not between June 11 - 28 or I`d die",negative
2365,Watching snl because the love of my life is hosting,positive
2286,Radio Royals AM Transmitter has packed up today... not good   Anyone got a spare in your shed... lol,negative
1595,_Allison Catch you later Terry....,neutral
1238, it`s saying that it is the wrong link-it cannot find the address.,neutral
3084,very very bad headache that is getting worse by the minute not better.,negative
2311," I can`t say I`ve tried, but then again, I haven`t tried with a sword either   Not yet, anyway.",neutral
2492,"Hernia is hurting way more than usual tonight, no way I`m able to go out!",negative
1510," thank you! i was just playing that a moment ago, actually! a very different, even more chill version.  *spooky*! haha.",neutral
2329, is new van a nice one,positive
2571,My neck hurts a lot.,negative
951, Haha and you should! State pride is important,positive
1440,WORKK! yay,positive
2848,tweeterizing from a mobile,neutral
3299, That`s love.,positive
